Yr,Winner,Loser
1999,Portland Trail Blazers (2),Utah Jazz (3)
1999,San Antonio Spurs (1),Los Angeles Lakers (4)
1999,New York Knicks (8),Indiana Pacers (2)
1999,San Antonio Spurs (1),Portland Trail Blazers (2)
1999,San Antonio Spurs (1),New York Knicks (8)
1998,Charlotte Hornets (4),Atlanta Hawks (5)
1998,Chicago Bulls (1),New Jersey Nets (8)
1998,Indiana Pacers (3),Cleveland Cavaliers (6)
1998,New York Knicks (7),Miami Heat (2)
1998,Los Angeles Lakers (3),Portland Trail Blazers (6)
1998,San Antonio Spurs (5),Phoenix Suns (4)
1998,Seattle SuperSonics (2),Minnesota Timberwolves (7)
1998,Utah Jazz (1),Houston Rockets (8)
1998,Chicago Bulls (1),Charlotte Hornets (4)
1998,Indiana Pacers (3),New York Knicks (7)
1998,Los Angeles Lakers (3),Seattle SuperSonics (2)
1998,Utah Jazz (1),San Antonio Spurs (5)
1998,Chicago Bulls (1),Indiana Pacers (3)
1998,Utah Jazz (1),Los Angeles Lakers (3)
1998,Chicago Bulls (1),Utah Jazz (1)
1997,Atlanta Hawks (4),Detroit Pistons (5)
1997,Chicago Bulls (1),Washington Bullets (8)
1997,Miami Heat (2),Orlando Magic (7)
1997,New York Knicks (3),Charlotte Hornets (6)
1997,Houston Rockets (3),Minnesota Timberwolves (6)
1997,Los Angeles Lakers (4),Portland Trail Blazers (5)
1997,Seattle SuperSonics (2),Phoenix Suns (7)
1997,Utah Jazz (1),Los Angeles Clippers (8)
1997,Chicago Bulls (1),Atlanta Hawks (4)
1997,Miami Heat (2),New York Knicks (3)
1997,Houston Rockets (3),Seattle SuperSonics (2)
1997,Utah Jazz (1),Los Angeles Lakers (4)
1997,Chicago Bulls (1),Miami Heat (2)
1997,Utah Jazz (1),Houston Rockets (3)
1997,Chicago Bulls (1),Utah Jazz (1)
1996,Atlanta Hawks (6),Indiana Pacers (3)
1996,Chicago Bulls (1),Miami Heat (8)
1996,New York Knicks (5),Cleveland Cavaliers (4)
1996,Orlando Magic (2),Detroit Pistons (7)
1996,Houston Rockets (5),Los Angeles Lakers (4)
1996,San Antonio Spurs (2),Phoenix Suns (7)
1996,Seattle SuperSonics (1),Sacramento Kings (8)
1996,Utah Jazz (3),Portland Trail Blazers (6)
1996,Chicago Bulls (1),New York Knicks (5)
1996,Orlando Magic (2),Atlanta Hawks (6)
1996,Seattle SuperSonics (1),Houston Rockets (5)
1996,Utah Jazz (3),San Antonio Spurs (2)
1996,Chicago Bulls (1),Orlando Magic (2)
1996,Seattle SuperSonics (1),Utah Jazz (3)
1996,Chicago Bulls (1),Seattle SuperSonics (1)
